Unnamed: 0,smile,rt,mol_weight,polar_surface_area,h_bond_donors,h_bond_acceptors,rotatable_bonds,aromatic_rings,heavy_atoms
0,CCOC(=O)c1noc2nc(C)nc(NCCc3ccc(Cl)cc3)c12,1205.4,360.801,90.14,1,7,6,3,25
1,CC1=C(c2ccc(C)cc2)S(=O)(=O)N=C1N1CCC(N=C(O)Cc2ccsc2)CC1,867.1,443.5940000000002,82.33,1,5,4,2,30
2,CCOc1ccc(N2CCCCn3c2nc2c3c(=O)n(CCC(C)C)c(=O)n2C)cc1,1149.6,425.5330000000002,74.28999999999999,0,8,6,3,31
3,CCOC(=O)c1c(S(=O)(=O)N2CCC(C(O)=NCCC3=CCCCC3)CC2)c(C)n(C)c1C,895.6,479.6430000000005,101.20000000000002,1,6,8,1,33
4,CCCN1CCN(c2ncc(C(=O)Nc3ccc(OCC)cc3)c(=N)[nH]2)CC1,616.7,384.4840000000002,97.34,3,6,7,2,28
5,COc1ccc(OC)c(N=C(O)N2C[C@@H](F)C[C@H]2C(=O)N2CCc3ccccc3C2)c1,825.9,427.4760000000002,74.6,1,4,4,2,31
6,Cc1cc(C(O)=Nc2ccc(N3CCOCC3)cc2)nc2cc(-c3ccccn3)nn12,801.5,414.46900000000005,88.14,1,7,4,4,31
7,CCCCn1cc(S(=O)(=O)Nc2ccc(F)cc2)c2cccnc21,936.5,347.415,63.99,1,4,6,3,24
8,OC(Cc1ccccc1)=NCc1nc(-c2ccc3oc(-c4ccccc4)nc3c2)no1,996.6,410.43300000000005,97.54,1,6,6,5,31
9,Cc1cccc(-c2nnc(-c3nc(=NCc4ccc(C)o4)c4ccccc4[nH]3)o2)c1,670.4,397.4380000000001,93.10000000000001,1,6,4,5,30
10,Cc1ccc2nc(-c3ccccc3)c(Nc3ccc(Cl)cc3)n2c1,755.0,333.82200000000006,29.330000000000002,1,3,3,4,24
11,Cc1ccc(-c2noc(Cn3nc(-c4ccccc4)ccc3=O)n2)cc1,1076.6,344.3740000000001,73.81,0,6,4,4,26
12,O=C(Cc1c(F)cccc1Cl)N1C[C@@H]2C[C@H](N=C(O)c3cccnc3)[C@H]1C2,694.7,387.8420000000001,65.79,1,3,4,2,27
13,CCCN=C(O)N1C[C@H](c2nc(-c3ccc(F)cc3)no2)C2(CCOCC2)C1,793.2,388.44300000000027,83.98,1,5,4,2,28
14,CCOC(=O)c1ccccc1N=C(O)Cn1nc2ccc(-c3ccc(Cl)cc3)nn2c1=O,989.4,451.8700000000002,111.08000000000001,1,8,6,4,32
15,COc1ccc2nc(CN3CCN(S(=O)(=O)c4cccs4)CC3)[nH]c2c1,584.1,392.5060000000001,78.53,1,6,5,3,26
16,CCOc1cccc(-c2noc(-c3nn(-c4cccc(F)c4)ccc3=O)n2)c1,978.2,378.36300000000006,83.04,0,7,5,4,28
17,COc1ccc(N2C[C@H](c3nnc(N=C(O)c4ccccc4Br)o3)CC2=O)cc1,702.7,457.28400000000016,101.05000000000001,1,6,5,3,29
18,O=C(c1ccccc1F)N1CCC(C(=O)N2CCc3ccccc32)CC1,821.9,352.40900000000005,40.620000000000005,0,2,2,2,26
19,CCNC(=O)c1cc(-c2ccccc2)[nH]n1,668.4,215.25600000000003,57.78,2,2,3,2,16
20,CCN=C(O)Nc1ccc2c(c1)CN(Cc1ccc(F)cc1F)CCO2,611.4,361.3920000000001,57.09,2,3,4,2,26
21,COc1ccc(-c2nn(CCCC(O)=NCCc3ccc(C)cc3)c(=O)c3noc(C)c23)cc1,950.1,460.53400000000016,102.74000000000001,1,7,9,4,34
22,Cc1ccc(CNS(=O)(=O)c2ccc3c(c2)C(=O)N(C)c2ncccc2O3)cc1,932.0,409.46700000000016,88.60000000000001,1,5,4,3,29
23,Cc1ccc(-c2ccc(N3CCC[C@H](C(=O)N4CCN(C(C)C)CC4)C3)nn2)cc1C,622.9,421.58900000000017,52.57000000000001,0,5,4,2,31
24,CS(=O)(=O)N(Cc1ccncc1)C1CN(C(=O)c2ccc3ncccc3c2)C1,698.1,396.47200000000015,83.47000000000001,0,5,5,3,28
25,O=C(c1cccc(F)c1)N1CCC(C(O)=Nc2nc3ccccc3s2)CC1,821.1,383.4480000000001,65.79,1,4,3,3,27
26,CCOC[C@H]1CCC2(CCN(C(=O)Cn3c(=O)oc4cc(Cl)ccc43)CC2)O1,900.5,408.8820000000001,73.91000000000001,0,6,5,2,28
27,CN1C(=O)c2cccnc2Sc2cc(N=C(O)c3ccccc3C(F)(F)F)ccc21,798.9,429.42300000000006,65.79,1,4,2,3,30
28,COc1ncc(C(O)=Nc2ccc(F)c(F)c2)c(C)n1,794.8,279.246,67.6,1,4,3,2,20
29,CC(C)n1c(CCN=C(O)Cc2ccc(F)cc2)nc2cccnc21,671.5,340.40200000000004,63.3,1,4,6,3,25
30,CCOC(=O)Cc1ccc(NC(O)=N[C@H]2CCN(c3ccc(C)cc3)C2=O)cc1,783.7,395.4590000000001,91.22999999999999,2,4,6,2,29
31,COc1ccc(OC)c(N=C(O)N2CCC3(CC2)N=C(O)C(c2ccc(C)c(C)c2)=N3)c1,895.7,436.5120000000001,99.24000000000001,2,5,4,2,32
32,Cc1cc(C)n2c(Nc3cccc(C(F)(F)F)c3)c(-c3ccc(F)cc3)nc2n1,829.1,400.3790000000001,42.22,1,4,3,4,29
33,COc1cccc(C(O)=N[C@@]2(C(F)(F)F)C(=O)N(C3CCCC3)C(C)=C2C(C)=O)c1,964.0,424.41900000000027,79.2,1,4,5,1,30
34,CCCN1C(=O)COc2ccc(-c3noc(-c4ccc(CS(=O)(=O)c5ccccc5)cc4)n3)cc21,1131.3,489.55300000000017,102.60000000000001,0,7,7,4,35
35,O=c1c2nc(-c3ccccc3)cn2ccn1-c1ccc(F)cc1,774.6,305.312,39.300000000000004,0,4,2,4,23
36,CC[C@@H]1CCCCN1C(=O)Cc1c(C)nn(-c2nc(-c3ccc(C)cc3)cs2)c1C,1382.4,422.5980000000002,51.02,0,5,5,3,30
37,OC(CCc1ccccc1)=Nc1cnn(-c2ncncc2N2CCOCC2)c1,648.9,378.4360000000002,88.66,1,7,6,3,28
38,Cc1ccc(CNS(=O)(=O)c2cc(-c3n[nH]cc3C(=O)N3CCCC3)oc2C)cc1,725.0,428.51400000000035,108.29999999999998,2,5,6,3,30
39,CCOC(=O)c1ccc(NC(=O)CCc2ccc3nc(CC)[nH]c3c2)cc1,646.2,365.43300000000005,84.07999999999998,2,4,7,3,27
40,CCNc1cc(N2CCC[C@H](CCC(=O)N3CCC[C@@H](CN4CCCC4)C3)C2)ncn1,570.8,428.6250000000003,64.60000000000001,1,6,8,1,31
41,COc1ccc(-c2noc(C3(NC(=O)c4ccc(C(F)(F)F)cc4)CCCCC3)n2)cc1,1261.0,445.4410000000002,77.25000000000001,1,5,5,3,32
42,CCCN(C)c1nccn2c(=O)n(CC(O)=Nc3ccc(F)cc3F)nc12,672.8,376.367,88.02,1,7,6,3,27
43,N=C(O)c1nnn(Cc2cccc([N+](=O)[O-])c2)c1N,616.5,262.22900000000004,143.95000000000002,3,7,4,2,19
44,CCn1cc(S(=O)(=O)Nc2cc(F)ccc2C)c2cccnc21,868.8,333.38800000000003,63.99,1,4,4,3,23
45,CCCn1cc(S(=O)(=O)Nc2cc(C)ccc2C)c2cccnc21,959.5,343.45200000000006,63.99,1,4,5,3,24
46,COc1cccc(N=C(O)Nc2cc3c(cc2Oc2ccccc2)n(C)c(=O)n3C)c1,804.4,418.45300000000015,90.00999999999999,2,6,5,4,31
47,Cc1ccc(-c2cn3c(CC(O)=Nc4ccc(F)cc4F)csc3n2)cc1C,861.1,397.4500000000001,49.89,1,4,4,4,28
48,CC(C)N=C(O)[C@H]1CC(=O)N(C2CCCCC2)C1,657.1,252.35799999999992,52.900000000000006,1,2,3,0,18
49,CCN1C(=O)c2cccnc2Sc2cc(NC(=O)c3ccc(C)cc3)ccc21,858.8,389.48000000000013,62.300000000000004,1,4,3,3,28
50,Cc1cc(-c2nnc(C3CCC3)o2)c(C)n1CC(O)=NCc1cccc(Cl)c1,896.6,398.894,76.44,1,5,6,3,28
51,CC1CCN(C[C@@H]2CCCN(C(=O)C3(c4ccccc4)CC3)CC2)CC1,659.8,354.53800000000024,23.55,0,2,4,1,26
52,CCCN1C(=O)[C@@H](CC(O)=NC(C)C)Sc2ncccc21,680.0,307.41900000000004,65.79,1,4,5,1,21
53,COc1ccc(N2CCN(c3cc(SCC(O)=Nc4ccc(C)cc4F)ncn3)CC2)cc1,1114.6,467.5700000000002,74.08,1,7,7,3,33
54,COCC(O)=Nc1cnc(-c2cccc(Cl)c2)nc1,872.1,277.711,67.6,1,4,4,2,19
55,CC[C@@]1(C(O)=Nc2ccc(OC)c(F)c2)CCCCC(O)=N1,719.8,308.35299999999995,74.41000000000001,2,3,4,1,22
56,CCOc1ccc(-n2c(N3CCSC3)nc3cc(C(=O)OC)ccc3c2=O)cc1,1117.1,411.4830000000002,73.66,0,8,5,3,29
57,CCOC(=O)c1ccccc1N=C(O)CSc1ccc(N2CCC[C@@H](C(O)=NC3CC3)C2)nn1,680.3,483.59400000000034,120.5,2,8,9,2,34
58,CN1c2cc(C(O)=NC3CCCC3)ccc2C(=O)N2CCCC[C@@H]21,767.0,327.4280000000001,56.14,1,3,2,1,24
59,Cc1ccc2[nH]cc(CCN=C(O)CN3C(=O)CSc4cccn4-c4ccccc43)c2c1,954.4,444.5600000000001,73.62,2,4,5,4,32
60,COc1ccc(-c2nc3sc(C(=O)N(C)C)c(C)n3c2NC(C)(C)C)cc1,742.4,386.52100000000013,58.870000000000005,1,6,4,3,27
61,Cc1ccc(CCNS(=O)(=O)c2ccc3c(c2)CCCC(=O)N3)cc1,789.3,358.4630000000002,75.27,2,3,5,2,25
62,CC1CCN(c2ncc3c(n2)CC[C@@H](C(=O)Nc2ccc(N4CCOCC4)cc2)C3)CC1,721.1,435.57200000000034,70.59,1,6,4,2,32
63,Cc1nnc(N2CCC[C@@H](C(O)=NCc3ccccc3F)C2)c2nn(-c3ccc(Cl)cc3)c(C)c12,770.6,492.9860000000003,79.43,1,6,5,4,35
64,O=S(=O)(c1cc(-c2noc(C3CCC3)n2)cs1)N1CCC(C(O)=NC2CCCCCC2)CC1,1114.6,492.6670000000004,108.89,1,7,6,2,33
65,Cc1ccc(-c2nnc(Cc3nc(-c4cccc(Cl)c4)no3)o2)cc1F,1167.9,370.77100000000013,77.84,0,6,4,4,26
66,CCN1c2ccccc2C(O)=NC12CCN(C(=O)Cc1ccc(OC)cc1)CC2,804.7,393.4870000000002,65.37,1,4,4,2,29
67,CCC[C@@H]1c2nccn2CCCN1C(=O)c1conc1C,568.4,288.351,64.16,0,5,3,2,21
68,COc1c(C(O)=NCc2ccc3c(c2)OCO3)sc2ccc(Cl)cc12,1072.5,375.833,60.28,1,5,4,3,25
69,CCN1CCN(CCNC(=O)c2sc3ncccc3c2-n2c(C)ccc2C)CC1,573.8,411.5750000000003,53.4,1,6,6,3,29
70,COc1cccc(-c2nc3sc(C(=O)N4CCOCC4)c(C)n3c2NC(C)(C)C)c1,794.6,428.5580000000002,68.1,1,7,4,3,30
71,COCCN=C(O)NCC1(c2ccccc2)CCOCC1,614.7,292.3790000000001,63.08,2,3,6,1,21
72,Cc1ccc(NS(=O)(=O)c2cn(CC(C)C)c3ncccc23)c(C)c1,1053.4,357.4790000000001,63.99,1,4,5,3,25
73,Cc1ccc(CN=C(O)c2ccc3c(c2)Sc2ncccc2C(=O)N3C)cc1,795.8,389.48000000000013,65.79,1,4,3,3,28
74,COc1cccc(N=C(O)Cn2c(C)nc3c(sc4nc(-c5ccccc5)ccc43)c2=O)c1,1087.9,456.52700000000016,89.6,1,7,5,5,33
75,Cn1c(=O)c(=O)n(CC(O)=NCCc2ccco2)c2cccnc21,645.6,328.32800000000003,102.62,1,7,5,3,24
76,N=C(O)C1CCN(C(=O)CCc2nnc3c4cc(-c5ccc(Cl)cc5)nn4ccn23)CC1,670.6,451.9180000000002,111.88,2,7,5,4,32
77,CCN1C(=O)[C@](C)(C(O)=NCc2ccccc2Cl)Oc2cccnc21,889.5,359.81300000000005,75.02000000000001,1,4,4,2,25
78,COc1ccc(C(O)=Nc2nc(-c3ccc([N+](=O)[O-])cc3)cs2)cc1OC,1013.9,385.4010000000001,107.08,1,7,6,3,27
79,Cc1ccc(S(=O)(=O)N2C[C@@H]3CN(C(O)=Nc4ccccc4C)C[C@@H](C2)O3)cc1,783.9,415.51500000000016,82.44000000000001,1,4,3,2,29
80,CC(=O)c1ccc(NC(=O)CCn2nc(C)nc2C)cc1,557.3,286.335,76.88,1,5,5,2,21
81,COc1ncc(C(O)=N[C@@H](C)c2ccc(F)cc2)cn1,755.9,275.283,67.6,1,4,4,2,20
82,CCC(C)(C)N=C(O)CCNc1c(-c2ccc(F)cc2)nc2cnccn12,754.4,369.444,74.81,2,5,7,3,27
83,COc1c(C(O)=NCc2ccccc2C)sc2cccc(F)c12,1131.0,329.3960000000001,41.82,1,3,4,3,23
84,Cc1ncoc1C(=O)N1CCC(F)(F)[C@H](COCC2CC2)C1,789.3,314.3320000000001,55.57000000000001,0,4,5,1,22
85,COc1ccc([C@@H]2CC(=O)N(CC(O)=NC[C@H]3CCCO3)c3ccccc3S2)cc1,826.4,426.5380000000001,71.36,1,5,6,2,30
86,CCCS(=O)(=O)N1CCC2(CC1)CN(c1ccccc1)C2=O,812.3,322.43,57.690000000000005,0,3,4,1,22
87,Cc1cc(Cl)ccc1S(=O)(=O)N1CCC(n2cnnc2C)CC1,745.0,354.8630000000001,68.09,0,5,3,2,23
88,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@@H](CO)[C@@H]2C(O)=NCc2ccc(C)o2)OCO4)cc(OC)c1OC,674.3,525.5540000000003,132.34,3,9,8,3,38
89,O=C(c1ccn2c(-c3cccc(Cl)c3)nnc2c1)N1CCN(c2ccccn2)CC1,607.5,418.88800000000026,66.63000000000001,0,6,3,4,30
90,Cc1cnc(C2CCC2)n1C[C@H]1CCCN(Cc2cn(C)c3ccccc23)C1,583.0,376.54800000000006,25.990000000000002,0,4,5,3,28
91,Cc1cnc(-c2ccncc2)n1[C@@H]1CCN(C(=O)C2(C)CCCCC2)C1,626.0,352.48200000000026,51.02,0,4,3,2,26
92,CC(=O)N1CCc2cc(C)c(S(=O)(=O)Nc3cccc(F)c3)cc21,730.8,348.39900000000006,66.48,1,3,3,2,24
93,Cc1ccccc1-c1noc([C@@H]2CCCN2C(O)=Nc2ccc(F)cc2F)n1,992.6,384.386,74.75,1,4,3,3,28
94,Cc1cnc(C2CC2)n1CCNS(=O)(=O)Cc1ccccc1,633.8,319.43,63.99,1,4,7,2,22
95,CC(C)CCC(O)=NCCc1nc2cccnc2n1-c1ccccc1,717.1,336.439,63.300000000000004,1,4,7,3,25
96,Cc1nc(-c2noc(-c3ccncc3)n2)cn1CC(=O)N1CCN(c2ccc(F)cc2)CC1,688.6,447.4740000000003,93.17999999999998,0,8,5,4,33
97,COc1ccc(N=C(O)[C@H]2CCCN(c3nccnc3Sc3ccccc3)C2)c(OC)c1,1064.9,450.5640000000002,80.07000000000001,1,7,7,3,32
98,O=C(C1=CN(c2cc(F)cc(F)c2)c2cc(F)ccc2S1(=O)=O)N1CCCC1,828.7,408.40100000000024,57.690000000000005,0,4,2,2,28
99,CCOCCCN=C(O)Nc1c(-c2cccc(C)c2)nc2ccccn12,862.8,352.4380000000001,71.15,2,4,7,3,26
100,OC(=NCc1ccc2c(c1)OCO2)[C@H]1CCCN(c2nccn3nc(-c4ccc(F)cc4)cc23)C1,871.6,473.50800000000015,84.48,1,7,5,4,35
101,CCCn1cc(C(=O)N2CCCc3ccccc32)c2nn(-c3ccccc3)c(=O)c-2c1,835.5,412.49300000000005,60.13,0,5,4,2,31
102,COc1ccc(N2C(=O)CS[C@@H]2c2ccc(Cl)cc2)cc1,876.9,319.813,29.54,0,3,3,2,21
103,Cc1c(CCC(=O)N2CCC(C(=N)O)CC2)c(=O)oc2cc3oc4c(c3cc12)CCCC4,795.3,436.5080000000003,107.74000000000001,2,5,4,3,32
104,COCCCN=C(O)C1CCN(c2nc3ccc(-c4ccccc4)nc3s2)CC1,834.7,410.5430000000002,70.84,1,6,7,3,29
105,CC(C)(C)c1noc(-c2ccc(-n3cnc(C(O)=NCc4ccccc4)c3)nc2)n1,1058.8,402.45800000000014,102.22,1,7,5,4,30
106,OC(Cc1nnc(-c2ccc3ncccc3c2)o1)=NCc1ccc(F)cc1,676.9,362.3640000000001,84.4,1,5,5,4,27
107,C[C@@H](CN=C(O)[C@H]1CCCN(c2nc(O)c3scc(-c4ccccc4)c3n2)C1)c1ccccc1,919.2,472.61400000000015,81.84,2,6,6,4,34
108,O=C(/C=C/c1cccnc1)c1ccccc1O,816.8,225.247,50.19,1,3,3,2,17
109,COC(=O)c1cc(OCC(=O)Nc2ccc(F)cc2)c2cc(F)ccc2n1,836.2,372.32700000000006,77.52,1,5,5,3,27
110,Cc1ccc(N2C(=O)C[C@@H](N3CCC(C(=N)O)CC3)C2=O)cc1C,607.1,329.40000000000015,84.70000000000002,2,4,3,1,24
