"SMILES","Molecular Weight","Polar Area","Complexity","XLogP","Heavy Atom Count","H-Bond Donor Count","H-Bond Acceptor Count","Rotatable Bond Count","Exact Mass","Monoisotopic Mass","Charge","Covalent Unit Count","Isotopic Atom Count","Total Atom Stereo Count","Defined Atom Stereo Count","Undefined Atom Stereo Count","Total Bond Stereo Count","Defined Bond Stereo Count","B","Br","C","Cl","F","H","I","N","Na","O","P","S","Si"
"C1=CC=C2C(=C1)C(=O)NS2(=O)=O",183.19,71.6,303,0.9,12,1,3,0,182.999,182.999,0,1,0,0,0,0,0,0,0,0,7,0,0,5,0,1,0,3,0,1,0
"CN1C2=C(C(=O)N(C1=O)C)NC=N2",180.16,69.3,267,0,13,1,3,0,180.065,180.065,0,1,0,0,0,0,0,0,0,0,7,0,0,8,0,4,0,2,0,0,0
"C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O",272.4,40.5,382,4,20,2,2,0,272.178,272.178,0,1,0,5,5,0,0,0,0,0,18,0,0,24,0,0,0,2,0,0,0
"C1=CC(=CC=C1N)O",109.13,46.3,66.9,0,8,2,2,0,109.053,109.053,0,1,0,0,0,0,0,0,0,0,6,0,0,7,0,1,0,1,0,0,0
"C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O",270.4,37.3,418,3.1,20,1,2,0,270.162,270.162,0,1,0,4,4,0,0,0,0,0,18,0,0,22,0,0,0,2,0,0,0
"C1(C(=O)NC(=O)N1)NC(=O)N",158.12,113,225,-2.2,11,4,3,1,158.044,158.044,0,1,0,1,0,1,0,0,0,0,4,0,0,6,0,4,0,3,0,0,0
"CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O",807.9,224,1660,1.6,58,5,14,13,807.347,807.347,0,1,0,11,11,0,0,0,0,0,43,0,0,53,0,1,0,14,0,0,0
"CN(C)C(=S)SSC(=S)N(C)C",240.4,121,158,1.7,12,0,4,3,239.988,239.988,0,1,0,0,0,0,0,0,0,0,6,0,0,12,0,2,0,0,0,4,0
"C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl",354.5,0,250,6.9,19,0,0,2,353.912,351.915,0,1,0,0,0,0,0,0,0,0,14,5,0,9,0,0,0,0,0,0,0
"C=O",30.026,17.1,2,1.2,2,0,1,0,30.0106,30.0106,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0
"COC(=O)NC1=NC2=CC=CC=C2N1",191.19,67,222,1.5,14,2,3,2,191.069,191.069,0,1,0,0,0,0,0,0,0,0,9,0,0,9,0,3,0,2,0,0,0
"CC1OC(OC(O1)C)C",132.16,27.7,63.3,0.7,9,0,3,0,132.079,132.079,0,1,0,0,0,0,0,0,0,0,6,0,0,12,0,0,0,3,0,0,0
"C1=CC=C2C(=O)C=CC(=O)C2=C1",158.15,34.1,227,1.7,12,0,2,0,158.037,158.037,0,1,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,2,0,0,0
"CCCCC1C(=O)N(N(C1=O)C2=CC=C(C=C2)O)C3=CC=CC=C3",324.4,60.9,454,2.7,24,1,3,5,324.147,324.147,0,1,0,1,0,1,0,0,0,0,19,0,0,20,0,2,0,3,0,0,0
"C1=CC=C(C(=C1)C(=O)O)C(=O)O",166.13,74.6,177,0.7,12,2,4,2,166.027,166.027,0,1,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,4,0,0,0
"COC1=C(C=CC(=C1)C(=O)O)O",168.15,66.8,168,1.4,12,2,4,2,168.042,168.042,0,1,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,4,0,0,0
"CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O",501.7,81,678,3,37,3,5,10,501.288,501.288,0,1,0,1,0,1,0,0,0,0,32,0,0,39,0,1,0,4,0,0,0
"C1=C(C=C(C(=C1I)O)I)C#N",370.91,44,176,2,11,1,2,0,370.83,370.83,0,1,0,0,0,0,0,0,0,0,7,0,0,3,2,1,0,1,0,0,0
"C1C2C(COS(=O)(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl",422.9,61,568,3.7,20,0,4,0,421.809,419.812,0,1,0,4,0,4,0,0,0,0,9,6,0,6,0,0,0,4,0,1,0
"C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl",373.3,0,467,4.3,17,0,0,0,371.818,369.821,0,1,0,5,0,5,0,0,0,0,10,7,0,5,0,0,0,0,0,0,0
"COP(=O)(N)SC",141.13,77.6,95.7,-0.9,7,1,4,2,141.001,141.001,0,1,0,1,0,1,0,0,0,0,2,0,0,8,0,1,0,2,1,1,0
"C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4",310.8,24.9,425,4.5,22,1,2,0,310.124,310.124,0,1,0,0,0,0,0,0,0,0,19,1,0,19,0,2,0,0,0,0,0
"C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl",406.9,54.7,470,3.8,19,0,4,0,405.814,403.817,0,1,0,4,0,4,0,0,0,0,9,6,0,6,0,0,0,3,0,1,0
"C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N",248.3,94.6,306,1,17,2,4,2,248.062,248.062,0,1,0,0,0,0,0,0,0,0,12,0,0,12,0,2,0,2,0,1,0
"CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C",221.25,47.6,277,2.3,16,1,3,2,221.105,221.105,0,1,0,0,0,0,0,0,0,0,12,0,0,15,0,1,0,3,0,0,0
"CCCC[C@@H](C)[C@H]([C@H](C[C@@H](C)C[C@@H](CCCC[C@H](C[C@@H]([C@H](C)N)O)O)O)OC(=O)C[C@@H](CC(=O)O)C(=O)O)OC(=O)C[C@@H](CC(=O)O)C(=O)O",721.8,289,1070,-0.5,50,8,16,31,721.388,721.388,0,1,0,10,10,0,0,0,0,0,34,0,0,59,0,1,0,15,0,0,0
"CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CCC(=O)C4)C)C",316.5,34.1,538,4.4,23,0,2,1,316.24,316.24,0,1,0,7,7,0,0,0,0,0,21,0,0,32,0,0,0,2,0,0,0
"C1=CC(=C(C=C1C(=O)O)O)O",154.12,77.8,157,1.1,11,3,4,1,154.027,154.027,0,1,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,4,0,0,0
"C[C@]12CCC(=O)C=C1C=C[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]45CCC(=O)O5)C",340.5,43.4,719,2.7,25,0,3,0,340.204,340.204,0,1,0,6,6,0,0,0,0,0,22,0,0,28,0,0,0,3,0,0,0
"C(#N)N=C(N)N",84.08,88.2,100,-1.2,6,2,2,0,84.0436,84.0436,0,1,0,0,0,0,0,0,0,0,2,0,0,4,0,4,0,0,0,0,0
"C1=CC=C2C(=C1)C(=O)NC(=O)N2",162.15,58.2,227,0.8,12,2,2,0,162.043,162.043,0,1,0,0,0,0,0,0,0,0,8,0,0,6,0,2,0,2,0,0,0
"C1[C@@H]2[C@@H]3[C@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl",380.9,12.5,516,3.7,19,0,1,0,379.868,377.871,0,1,0,8,8,0,0,0,0,0,12,6,0,8,0,0,0,1,0,0,0
"C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl",380.9,12.5,516,3.7,19,0,1,0,379.868,377.871,0,1,0,8,0,8,0,0,0,0,12,6,0,8,0,0,0,1,0,0,0
"CC1=NC=C(N1CC(C)O)[N+](=O)[O-]",185.18,83.9,194,0.2,13,1,4,2,185.08,185.08,0,1,0,1,0,1,0,0,0,0,7,0,0,11,0,3,0,3,0,0,0
"C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O",378.1,58.3,259,2.6,18,3,3,3,377.977,375.979,0,1,0,0,0,0,0,0,0,2,13,0,0,18,0,2,0,1,0,0,0
"CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N",211.21,104,246,-1.9,15,4,5,3,211.084,211.084,0,1,0,1,0,1,0,0,0,0,10,0,0,13,0,1,0,4,0,0,0
"C1=C(C(=O)NC(=C1Cl)Cl)Cl",198.43,29.1,243,3.2,10,1,1,0,196.92,196.92,0,1,0,0,0,0,0,0,0,0,5,3,0,2,0,1,0,1,0,0,0
"C1=CC(=NC=C1C(=O)O)Cl",157.55,50.2,140,2.7,10,1,3,1,156.993,156.993,0,1,0,0,0,0,0,0,0,0,6,1,0,4,0,1,0,2,0,0,0
"C1=CC=C(C(=C1)C(=O)O)Cl",156.56,37.3,136,2.1,10,1,2,1,155.998,155.998,0,1,0,0,0,0,0,0,0,0,7,1,0,5,0,0,0,2,0,0,0
"C12=C(NC(=O)N1)NC(=O)NC2=O",168.11,99.3,332,-1.9,12,4,3,0,168.028,168.028,0,1,0,0,0,0,0,0,0,0,5,0,0,4,0,4,0,3,0,0,0
"C1=CC(=CC=C1N)Cl",127.57,26,66.9,1.9,8,1,1,0,127.019,127.019,0,1,0,0,0,0,0,0,0,0,6,1,0,6,0,1,0,0,0,0,0
"CCN(CC)CCNC1=C2C(=C(C=C1)CO)SC3=CC=CC=C3C2=O",356.5,77.9,443,2.7,25,2,5,7,356.156,356.156,0,1,0,0,0,0,0,0,0,0,20,0,0,24,0,2,0,2,0,1,0
"C1=CC=C2C(=C1)NC(=N2)N",133.15,54.7,126,0.9,10,2,2,0,133.064,133.064,0,1,0,0,0,0,0,0,0,0,7,0,0,7,0,3,0,0,0,0,0
"C1=CC(=C(C(=C1)Cl)C(=O)N)Cl",190.02,43.1,153,0.8,11,1,1,1,188.975,188.975,0,1,0,0,0,0,0,0,0,0,7,2,0,5,0,1,0,1,0,0,0
"C1=CC(=C(C=C1/C=C/C(=O)C2=C(C=C(C=C2)O)O)O)O",272.25,98,367,2.8,20,4,5,3,272.068,272.068,0,1,0,0,0,0,1,1,0,0,15,0,0,12,0,0,0,5,0,0,0
"C1CN(CCN1)C2=CC(=CC=C2)Cl",196.67,15.3,157,1.7,13,1,2,1,196.077,196.077,0,1,0,0,0,0,0,0,0,0,10,1,0,13,0,2,0,0,0,0,0
"CC1=C(C=CC(=C1)Cl)O",142.58,20.2,94.9,2.8,9,1,1,0,142.019,142.019,0,1,0,0,0,0,0,0,0,0,7,1,0,7,0,0,0,1,0,0,0
"CCCCC(C)C(C(CC(C)CC(CCCCC(CC(C(C)N)O)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O",721.8,289,1070,-0.5,50,8,16,31,721.388,721.388,0,1,0,10,0,10,0,0,0,0,34,0,0,59,0,1,0,15,0,0,0
"C(N)P(=O)(O)O",111.04,83.6,74.9,-4.7,6,3,4,1,111.009,111.009,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,1,0,3,1,0,0
"CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)Cl",436.9,110,590,5,31,2,6,8,436.141,436.141,0,1,0,0,0,0,0,0,0,0,22,1,0,21,0,6,0,2,0,0,0
"C1=NC=NN1",69.07,41.6,28.1,-0.6,5,1,2,0,69.0327,69.0327,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,3,0,0,0,0,0
"C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)O)O",288.4,60.7,411,3.7,21,3,3,0,288.173,288.173,0,1,0,5,5,0,0,0,0,0,18,0,0,24,0,0,0,3,0,0,0
"CC(=O)NC1=CC=C(C=C1)S(=O)(=O)N",214.24,97.6,299,0,14,2,4,2,214.041,214.041,0,1,0,0,0,0,0,0,0,0,8,0,0,10,0,2,0,3,0,1,0
"C1=CC(=CC=C1C2=C(N=CN=C2OCCOC3=NC=C(C=N3)Br)NS(=O)(=O)N)Br",546.2,151,597,2.4,29,2,10,8,545.914,543.916,0,1,0,0,0,0,0,0,0,2,16,0,0,14,0,6,0,4,0,1,0
"C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O",350.4,89.1,624,2.5,24,1,5,2,350.119,350.119,0,1,0,4,4,0,0,0,0,0,18,0,0,22,0,0,0,5,0,1,0
"CC1=CC(=C(C=C1)O)O",124.14,40.5,92.9,1.4,9,2,2,0,124.052,124.052,0,1,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,2,0,0,0
"CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O",238.2,95.7,385,-0.8,17,1,5,2,238.07,238.07,0,1,0,0,0,0,0,0,0,0,9,0,0,10,0,4,0,4,0,0,0
"CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N",203.24,49.6,305,0.1,15,1,3,1,203.106,203.106,0,1,0,0,0,0,0,0,0,0,11,0,0,13,0,3,0,1,0,0,0
"CCC1=CC(=CC(=C1C2C(=O)N3CCOCCN3C2=O)CC)C",316.4,49.9,429,2.6,23,0,3,3,316.179,316.179,0,1,0,0,0,0,0,0,0,0,18,0,0,24,0,2,0,3,0,0,0
"CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)C3=CC=CC=C3)C(=O)O",289.33,66.8,419,-0.3,21,1,5,4,289.131,289.131,0,1,0,4,4,0,0,0,0,0,16,0,0,19,0,1,0,4,0,0,0
"CC(=O)NC1=CC=C(C=C1)CC(=O)O",193.2,66.4,219,0.8,14,2,3,3,193.074,193.074,0,1,0,0,0,0,0,0,0,0,10,0,0,11,0,1,0,3,0,0,0
"C(CP(=O)(O)O)O",126.05,77.8,83.7,-2.3,7,3,4,2,126.008,126.008,0,1,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,4,1,0,0
"C1=CC(=C(C(=C1)Cl)O)Cl",163,20.2,87.1,2.7,9,1,1,0,161.964,161.964,0,1,0,0,0,0,0,0,0,0,6,2,0,4,0,0,0,1,0,0,0
"CC(=O)O[C@@H]1[C@@H]([C@]2(CC[C@H]3[C@H]([C@@]24[C@@H]1O4)CC[C@]5([C@@]3(CC[C@@H](C5)O)C)O)C)C6=COC(=O)C=C6",458.5,106,972,2.1,33,2,7,3,458.23,458.23,0,1,0,10,10,0,0,0,0,0,26,0,0,34,0,0,0,7,0,0,0
"CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)O)O",249.35,43.7,269,2.3,18,2,3,3,249.173,249.173,0,1,0,2,2,0,0,0,0,0,15,0,0,23,0,1,0,2,0,0,0
"CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCO",224.22,78.7,322,-1.2,16,1,4,2,224.091,224.091,0,1,0,0,0,0,0,0,0,0,9,0,0,12,0,4,0,3,0,0,0
"C(C(=O)O)(C(=O)O)O",120.06,94.8,103,-1.1,8,3,5,2,120.006,120.006,0,1,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,5,0,0,0
"C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4O)O",288.4,60.7,411,3.7,21,3,3,0,288.173,288.173,0,1,0,5,5,0,0,0,0,0,18,0,0,24,0,0,0,3,0,0,0
"CC1=C(C=CC=C1C2=CC=CC=C2)CO",198.26,20.2,184,3,15,1,1,2,198.104,198.104,0,1,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,1,0,0,0
"C1=C2C(=NC=NN2C(=C1)[C@]3([C@@H]([C@@H]([C@H](O3)CO)O)O)C#N)N",291.26,150,456,-1.4,21,4,8,2,291.097,291.097,0,1,0,4,4,0,0,0,0,0,12,0,0,13,0,5,0,4,0,0,0
"CCCC(CC=C)C(=O)O",142.2,37.3,118,2.3,10,1,2,5,142.099,142.099,0,1,0,1,0,1,0,0,0,0,8,0,0,14,0,0,0,2,0,0,0
"C1=CC(=CC=C1C(F)(F)F)N",161.12,26,124,2.4,11,1,4,0,161.045,161.045,0,1,0,0,0,0,0,0,0,0,7,0,3,6,0,1,0,0,0,0,0
"C1=CC(=C(C=C1/C=C\2/C(=O)C3=C(O2)C=C(C=C3)O)O)O",270.24,87,418,2.5,20,3,5,1,270.053,270.053,0,1,0,0,0,0,1,1,0,0,15,0,0,10,0,0,0,5,0,0,0
"CCCCCC(=O)CC[C@H]1[C@@H](C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)O)O",354.5,94.8,432,2.6,25,3,5,13,354.241,354.241,0,1,0,4,4,0,1,1,0,0,20,0,0,34,0,0,0,5,0,0,0
"C1=C(SC(=C1)Cl)C(=O)O",162.59,65.5,128,2.4,9,1,3,1,161.954,161.954,0,1,0,0,0,0,0,0,0,0,5,1,0,3,0,0,0,2,0,1,0
