model,feature,score_kind,value
LinearRegression,mol_weight,coef,1.2223676695196162
LinearRegression,heavy_atoms,coef,-0.9407859054977439
LinearRegression,h_bond_donors,coef,-0.5311347863090304
LinearRegression,h_bond_acceptors,coef,-0.5266787492806734
LinearRegression,aromatic_rings,coef,0.4798599987834029
LinearRegression,polar_surface_area,coef,0.3661298864559505
LinearRegression,rotatable_bonds,coef,0.0088960714041828
Ridge(alpha=1.0),mol_weight,coef,1.1854102702975866
Ridge(alpha=1.0),heavy_atoms,coef,-0.9042597505891673
Ridge(alpha=1.0),h_bond_donors,coef,-0.5261042524284115
Ridge(alpha=1.0),h_bond_acceptors,coef,-0.5198051969779351
Ridge(alpha=1.0),aromatic_rings,coef,0.47633812350970883
Ridge(alpha=1.0),polar_surface_area,coef,0.3580149018763166
Ridge(alpha=1.0),rotatable_bonds,coef,0.007844560324238112
RandomForest,polar_surface_area,importance,0.3235363086445343
RandomForest,mol_weight,importance,0.24511249100433685
RandomForest,aromatic_rings,importance,0.12327178401489919
RandomForest,rotatable_bonds,importance,0.09155365273689353
RandomForest,heavy_atoms,importance,0.08441004850556615
RandomForest,h_bond_acceptors,importance,0.07931182636316293
RandomForest,h_bond_donors,importance,0.05280388873060702
Univariate,mol_weight,pearson_r,0.22393839499936857
Univariate,polar_surface_area,pearson_r,-0.015243010096211526
Univariate,h_bond_donors,pearson_r,-0.2047980140924239
Univariate,h_bond_acceptors,pearson_r,0.06586159382057805
Univariate,rotatable_bonds,pearson_r,0.012999058413725841
Univariate,aromatic_rings,pearson_r,0.3392444912125476
Univariate,heavy_atoms,pearson_r,0.17868657583212724
