model,seed,split,metric,value
RDKit-only (Ridge),0,Train,R2,0.2376565501779726
RDKit-only (Ridge),0,Train,MAE,120.16859662046545
RDKit-only (Ridge),0,Test,R2,0.2341541200166164
RDKit-only (Ridge),0,Test,MAE,121.21982556398294
RDKit-only (RandomForest),0,Train,R2,0.9099440604101605
RDKit-only (RandomForest),0,Train,MAE,36.26099358751433
RDKit-only (RandomForest),0,Test,R2,0.5601613167838368
RDKit-only (RandomForest),0,Test,MAE,83.02180120954203
RDKit-only (GradientBoosting),0,Train,R2,0.31945151310915376
RDKit-only (GradientBoosting),0,Train,MAE,112.56541787316897
RDKit-only (GradientBoosting),0,Test,R2,0.30862578623952
RDKit-only (GradientBoosting),0,Test,MAE,113.96653039810397
RDKit-only (Ridge),1,Train,R2,0.2376565501779726
RDKit-only (Ridge),1,Train,MAE,120.16859662046545
RDKit-only (Ridge),1,Test,R2,0.2341541200166164
RDKit-only (Ridge),1,Test,MAE,121.21982556398294
RDKit-only (RandomForest),1,Train,R2,0.9097247221180746
RDKit-only (RandomForest),1,Train,MAE,36.267008582070055
RDKit-only (RandomForest),1,Test,R2,0.5605216069960104
RDKit-only (RandomForest),1,Test,MAE,82.92798660571451
RDKit-only (GradientBoosting),1,Train,R2,0.31945151310915376
RDKit-only (GradientBoosting),1,Train,MAE,112.56541787316897
RDKit-only (GradientBoosting),1,Test,R2,0.30862578623952
RDKit-only (GradientBoosting),1,Test,MAE,113.96653039810396
RDKit-only (Ridge),2,Train,R2,0.2376565501779726
RDKit-only (Ridge),2,Train,MAE,120.16859662046545
RDKit-only (Ridge),2,Test,R2,0.2341541200166164
RDKit-only (Ridge),2,Test,MAE,121.21982556398294
RDKit-only (RandomForest),2,Train,R2,0.9098708901937201
RDKit-only (RandomForest),2,Train,MAE,36.27757158461428
RDKit-only (RandomForest),2,Test,R2,0.5582510302850561
RDKit-only (RandomForest),2,Test,MAE,83.13407278595125
RDKit-only (GradientBoosting),2,Train,R2,0.31945151310915376
RDKit-only (GradientBoosting),2,Train,MAE,112.56541787316897
RDKit-only (GradientBoosting),2,Test,R2,0.30862578623952
RDKit-only (GradientBoosting),2,Test,MAE,113.96653039810397
RDKit-only (Ridge),3,Train,R2,0.2376565501779726
RDKit-only (Ridge),3,Train,MAE,120.16859662046545
RDKit-only (Ridge),3,Test,R2,0.2341541200166164
RDKit-only (Ridge),3,Test,MAE,121.21982556398294
RDKit-only (RandomForest),3,Train,R2,0.9099082076174059
RDKit-only (RandomForest),3,Train,MAE,36.25760443670832
RDKit-only (RandomForest),3,Test,R2,0.5592649647975755
RDKit-only (RandomForest),3,Test,MAE,83.07860032999417
RDKit-only (GradientBoosting),3,Train,R2,0.31945151310915376
RDKit-only (GradientBoosting),3,Train,MAE,112.56541787316897
RDKit-only (GradientBoosting),3,Test,R2,0.30862578623952
RDKit-only (GradientBoosting),3,Test,MAE,113.96653039810397
RDKit-only (Ridge),4,Train,R2,0.2376565501779726
RDKit-only (Ridge),4,Train,MAE,120.16859662046545
RDKit-only (Ridge),4,Test,R2,0.2341541200166164
RDKit-only (Ridge),4,Test,MAE,121.21982556398294
RDKit-only (RandomForest),4,Train,R2,0.9099211239638447
RDKit-only (RandomForest),4,Train,MAE,36.25485778945701
RDKit-only (RandomForest),4,Test,R2,0.5590004234783761
RDKit-only (RandomForest),4,Test,MAE,83.08885976826377
RDKit-only (GradientBoosting),4,Train,R2,0.31945151310915376
RDKit-only (GradientBoosting),4,Train,MAE,112.56541787316897
RDKit-only (GradientBoosting),4,Test,R2,0.30862578623952
RDKit-only (GradientBoosting),4,Test,MAE,113.96653039810396
